"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae"	"Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family_XI"	"Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae"	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae"	"Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae"	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Hafniaceae"	"Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae"	"Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae"	"Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae"	"Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae"	"Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae"	"Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae"	"Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae"	"Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae"	"Bacteria;Firmicutes;Clostridia;Oscillospirales;Hydrogenoanaerobacterium"	"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae"	"Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae"	"Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae"	"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae"	"Bacteria;Firmicutes;Clostridia;Oscillospirales;Ethanoligenenaceae"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae"	"Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae"	"Bacteria;Firmicutes;Clostridia;Eubacteriales;Anaerofustaceae"	"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae"	"Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae"	"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae"	"Bacteria;Firmicutes;Clostridia;Oscillospirales;[Clostridium]_methylpentosum_group"	"Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halomonadaceae"	"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae"	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae"	"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales_Incertae_Sedis"	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae"	"Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae"	"Bacteria;Firmicutes;Bacilli;Thermicanales;Thermicanaceae"	"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae"	"Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae"	"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae"	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermacoccaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae"	"Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae"	"Bacteria;Firmicutes;Bacilli;Thermoactinomycetales;Thermoactinomycetaceae"	"Bacteria;Cyanobacteria;Vampirivibrionia;Obscuribacterales;Obscuribacteraceae"	"Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Hydrogenophilaceae"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae"	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae"	"Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;uncultured"	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae"	"Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae"	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae"	"Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae"	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae"	"Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae"	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae"
"16S-C-C2-L3_e0017-3-C-C2"	26825	31155	2582	13576	957	2757	1516	26300	5958	0	1906	1504	2158	1797	655	1167	597	3	871	90	0	0	134	55	25	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C3-L0_e0017-0-C-C3"	25658	45662	4217	13014	147	4146	1482	14738	10437	0	3317	2019	3379	4963	467	0	36	24	2126	277	0	228	38	239	195	19	0	13	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C3-L1_e0017-1-C-C3"	41224	55417	7005	14228	15	8341	1728	10214	8709	0	3874	4540	3821	5038	299	0	749	0	1710	238	0	560	20	254	132	56	0	8	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C3-L2_e0017-2-C-C3"	9248	23208	7343	6881	1909	2920	901	12705	8542	41	6352	860	1509	1628	497	255	355	16	453	94	0	141	28	113	39	8	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C3-L3_e0017-3-C-C3"	25738	31804	11436	13888	286	3440	1232	18740	5681	0	2065	1315	2193	2475	462	0	1144	0	964	106	348	53	17	100	35	25	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C4-L0_e0017-0-C-C4"	43793	69743	3178	30157	586	6097	5710	6728	12358	0	4144	2195	4927	2679	787	0	40	0	1716	332	0	322	47	457	215	63	0	10	9	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C4-L1_e0017-1-C-C4"	39040	59614	6214	16602	27	8064	1717	14438	10031	0	3506	3589	4462	7650	374	0	478	23	1971	229	0	300	13	267	147	39	0	13	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C4-L2_e0017-2-C-C4"	11894	29467	5754	12451	482	2013	1452	16269	9532	64	2267	884	1546	1803	521	563	281	4	541	115	0	206	89	211	46	10	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C4-L3_e0017-3-C-C4"	35323	46657	3546	20147	350	4519	1254	46483	11038	206	2330	2367	2842	3053	1041	1125	1776	103	1471	184	2	269	9	92	51	12	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C5-L0_e0017-0-C-C5"	22897	66069	5928	21308	311	4570	10733	1753	13281	19	3545	2051	5322	2018	516	446	21	6	2060	127	0	304	13	435	329	37	0	21	12	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C5-L1_e0017-1-C-C5"	23576	32732	2178	11105	0	3032	941	32981	7909	0	1381	1459	1948	6782	888	0	254	0	1200	156	0	129	9	391	41	16	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C5-L2_e0017-2-C-C5"	9424	27814	9570	9136	3791	3234	4436	8	11879	0	5920	702	2318	1449	827	1101	367	26	1266	99	0	233	123	163	29	0	0	8	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C5-L3_e0017-3-C-C5"	27932	28135	2296	13021	105	2162	787	28361	4827	53	1463	1234	1559	2156	280	0	1685	6	1131	86	0	116	13	116	35	13	0	4	3	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C6-L0_e0017-0-C-C6"	30941	66091	2522	28925	179	5327	4849	2135	11648	0	3654	1792	5243	2120	387	0	9	71	2374	273	0	209	20	512	204	56	0	21	13	0	0	19	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C6-L1_e0017-1-C-C6"	39921	49863	2810	14653	26	4335	5020	9524	11002	90	2285	2875	3699	2383	1769	0	789	0	1923	178	0	80	11	216	76	45	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C6-L2_e0017-2-C-C6"	11117	38555	3696	13853	1566	1004	3498	4406	9705	0	2581	939	1700	256	990	8437	488	66	1102	113	0	145	17	392	18	199	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C6-L3_e0017-3-C-C6"	44239	47215	3014	15685	109	3406	981	23763	7648	28	2416	1953	3099	1865	1965	0	743	2	1636	144	0	58	27	80	61	49	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C7-L0_e0017-0-C-C7"	30888	56223	3850	13450	33	5315	6754	1118	9920	0	3921	1894	4167	858	758	0	0	0	2747	337	0	261	13	474	205	60	0	16	10	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C7-L1_e0017-1-C-C7"	24073	35366	3174	12451	0	4338	6653	9066	9378	0	2271	1599	2847	2967	1084	0	151	0	1627	135	0	167	14	510	34	54	0	0	6	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C7-L2_e0017-2-C-C7"	17746	24575	1757	8913	1103	1883	1648	0	7513	65	1803	1025	1150	583	539	11	237	0	1285	111	0	345	9	50	40	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C7-L3_e0017-3-C-C7"	36849	35428	1603	15258	1495	1405	1597	7728	7038	82	1411	1546	2344	1709	1580	2542	211	0	871	118	0	68	61	155	34	20	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C8-L0_e0017-0-C-C8"	29396	54266	2364	22051	129	4658	4673	2452	8404	0	3567	1410	4144	1816	489	0	0	65	1265	198	0	226	50	382	176	72	0	0	6	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C8-L1_e0017-1-C-C8"	38750	46289	478	12372	0	2514	2040	2450	5471	17	1073	3427	3917	682	606	0	7	0	784	49	0	16	0	146	10	112	0	0	7	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C8-L2_e0017-2-C-C8"	3524	18080	1518	7905	200	686	3511	1852	5264	0	2334	319	924	282	1017	3976	38	23	303	65	0	95	110	209	12	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C8-L3_e0017-3-C-C8"	23710	21073	1214	9779	261	1016	1266	594	5086	30	998	969	1380	535	1385	4072	77	0	748	53	0	96	94	137	27	16	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C9-L0_e0017-0-C-C9"	33504	68457	5282	17384	0	8897	7992	2327	10391	0	5696	1662	5151	2027	1210	0	6	0	3189	276	0	291	13	457	333	86	0	17	9	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C9-L1_e0017-1-C-C9"	61456	48947	2862	16435	0	3122	3499	5286	9278	0	2166	2951	3320	2038	1674	0	53	0	1495	162	0	122	0	158	41	71	0	4	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C9-L2_e0017-2-C-C9"	13692	18713	1473	9321	124	1057	2527	388	5950	0	1550	682	1230	159	560	537	38	10	377	78	0	176	86	34	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C9-L3_e0017-3-C-C9"	43625	47671	3334	17185	539	2789	1726	4062	8851	694	3004	1885	2824	821	2229	0	669	10	2281	185	0	176	22	130	74	77	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D1-L0_e0017-0-C-D1"	23448	77978	12804	14277	3245	441	6141	6938	5962	26	15593	1327	4330	0	8747	2113	159	18	227	161	0	245	20	0	51	0	0	58	0	0	58	0	0	0	84	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D1-L1_e0017-1-C-D1"	44232	64047	0	17929	1522	162	2028	12355	4566	4257	1643	2707	2564	0	854	0	380	50	1412	10	0	52	0	282	42	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D1-L2_e0017-2-C-D1"	6561	19906	5988	5956	2919	5559	981	16388	9789	0	5395	476	1425	0	1534	1018	360	10	81	62	0	228	80	0	27	0	0	22	8	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D1-L3_e0017-3-C-D1"	9794	29184	103	7441	344	97	1488	18123	3044	19547	653	558	1382	0	759	4	635	123	457	50	0	0	0	22	15	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D10-L0_e0017-0-C-D10"	20377	44940	735	16909	2287	398	5276	10503	6917	448	2675	981	1789	0	2346	1683	140	161	547	145	0	100	46	90	153	178	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D10-L1_e0017-1-C-D10"	51712	43515	0	16838	195	634	1375	39830	6234	520	1576	2155	3992	0	1226	0	1516	246	0	252	0	0	0	111	16	309	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D10-L2_e0017-2-C-D10"	10900	35873	10173	12238	7882	2403	944	7962	8091	1448	2604	851	2530	0	788	636	426	101	702	191	0	189	148	25	86	44	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D10-L3_e0017-3-C-D10"	16667	37606	33	12950	774	421	2195	31330	5719	23352	1030	1468	2000	0	1104	1379	1217	472	2	138	0	0	0	47	21	158	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D11-L0_e0017-0-C-D11"	21814	67985	40	31505	1021	810	8181	11628	8429	11653	2814	1748	2271	82	2636	0	83	391	799	212	0	52	6	131	25	305	11	0	0	0	0	13	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D11-L1_e0017-1-C-D11"	14966	34189	0	11733	155	587	2382	31788	3350	28385	979	1757	3015	0	560	0	1446	218	0	252	0	0	0	50	16	149	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D11-L2_e0017-2-C-D11"	5838	21201	4531	9976	1490	3746	600	15899	4115	6701	1654	590	1271	0	488	112	732	284	424	145	33	71	0	0	19	70	7	0	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D11-L3_e0017-3-C-D11"	7540	52463	0	15160	24	726	3155	5827	5412	50056	462	2158	3662	0	734	0	493	1327	3	139	0	0	0	25	9	102	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D12-L0_e0017-0-C-D12"	32837	48183	498	25557	1228	745	1081	22851	12778	51	2505	1519	5598	3077	937	0	1132	31	695	203	0	71	13	18	65	0	0	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D12-L1_e0017-1-C-D12"	42117	46817	0	17772	178	690	3122	28116	6195	83	1828	2013	3444	0	1372	0	1009	176	639	278	0	0	0	74	26	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D12-L2_e0017-2-C-D12"	7755	17440	7118	9718	1866	5350	279	17756	9461	0	1991	862	1689	112	782	397	1170	24	447	119	0	207	9	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D12-L3_e0017-3-C-D12"	20217	40556	0	12318	505	438	5102	29178	4937	20726	1422	1767	2689	0	1354	0	1436	649	841	176	0	0	0	61	18	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D2-L0_e0017-0-C-D2"	17657	18858	1104	8756	1128	12412	6727	17	2516	30	2835	134	317	2381	11229	0	59	0	453	104	0	18	7	44	336	145	0	0	6	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D2-L1_e0017-1-C-D2"	62654	59837	0	12784	968	184	2418	22949	4379	60	902	3002	1904	0	119	0	850	21	2140	176	0	50	0	0	17	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D2-L2_e0017-2-C-D2"	14226	23841	4748	8577	1126	6231	5956	208	7247	0	3303	643	1185	109	2899	440	79	0	193	77	0	69	83	9	84	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D2-L3_e0017-3-C-D2"	41036	41518	419	17649	1117	208	3767	17774	8417	0	1426	1380	1550	0	544	1231	521	27	584	116	0	46	174	0	45	154	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D3-L0_e0017-0-C-D3"	27639	59405	61	28014	5923	1173	10662	11682	10450	3170	4447	1991	2525	11	3903	0	281	714	1157	280	0	161	34	168	241	140	15	0	0	0	0	14	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D3-L1_e0017-1-C-D3"	45989	40919	0	19645	665	636	1397	31251	6205	73	1511	1673	2216	0	964	0	871	373	317	289	0	68	0	182	44	178	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D3-L2_e0017-2-C-D3"	11285	25075	1952	11844	4629	1699	3172	4335	8084	2576	2752	582	1893	10	818	625	168	200	295	103	0	136	52	16	32	45	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D3-L3_e0017-3-C-D3"	37473	42592	30	13175	1078	397	543	35966	6042	0	744	1077	2460	6	753	4	1603	1492	77	239	0	54	4	50	23	47	12	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D4-L0_e0017-0-C-D4"	24121	73302	75	31418	4935	1091	8462	8015	8342	5673	4429	2325	3264	7	5544	0	286	950	1413	237	0	92	61	190	225	104	19	0	8	0	0	9	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D4-L1_e0017-1-C-D4"	42400	44393	6	20150	1327	412	2509	21797	4445	189	1572	1695	1957	0	1042	0	815	113	852	253	0	75	12	82	49	67	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D4-L2_e0017-2-C-D4"	6307	20615	1592	9495	3157	2301	1016	12226	4530	4730	3254	436	1327	6	539	0	397	331	280	109	0	77	32	38	22	35	5	0	5	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D4-L3_e0017-3-C-D4"	25234	54037	106	22987	1727	736	2495	32627	3001	17109	1249	1790	3162	6	1413	0	1009	205	681	220	0	59	13	43	22	198	8	0	0	0	0	5	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D5-L0_e0017-0-C-D5"	12614	33021	2570	14371	1366	1822	3513	3037	4149	335	2528	926	1930	382	1946	486	19	116	352	73	0	29	108	156	118	97	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D5-L1_e0017-1-C-D5"	12722	13185	0	6443	701	185	1318	6172	1719	60	585	505	683	0	523	0	259	82	229	58	0	27	5	25	17	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D5-L2_e0017-2-C-D5"	2469	8275	2506	4317	1333	3122	753	3105	2782	436	1706	211	698	166	326	306	164	18	94	41	0	29	67	27	16	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D5-L3_e0017-3-C-D5"	8565	11082	16	5313	293	177	666	5775	1847	252	405	307	548	7	388	396	120	115	159	45	0	27	5	24	15	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D6-L0_e0017-0-C-D6"	31302	55847	63	24272	2342	674	5232	2854	7194	618	3802	1877	3502	0	2661	375	81	415	577	132	0	79	18	108	160	164	24	3	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D6-L1_e0017-1-C-D6"	34801	37070	134	19414	1591	630	2919	16632	7004	2136	1599	1567	2024	0	1141	0	205	157	655	244	0	69	18	79	62	129	10	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D6-L2_e0017-2-C-D6"	9390	26017	3828	12047	3314	1112	2095	4129	6181	1858	1220	614	1989	0	873	514	307	120	505	125	0	108	120	43	39	76	0	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D6-L3_e0017-3-C-D6"	20167	36043	758	16138	1291	1239	2379	23958	3597	15035	1060	1360	1887	0	812	519	487	201	556	170	0	43	7	35	26	129	6	0	4	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D7-L0_e0017-0-C-D7"	8646	41266	4079	16644	4199	3235	4424	2917	6132	4172	4895	1077	2083	51	3625	1101	39	142	564	66	0	91	209	236	147	100	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
