biosample	media	inoculationreplicate	passage	PCRreplicate	sample	well	round1plate	round1index	round2plate	filename
XBA-029	BHI	1	1	3	XBA-029-BHI-r1-p1-PCR3	A9	7	7	B	16S-A9-L7
XBA-029	TYG	3	1	3	XBA-029-TYG-r3-p1-PCR3	A10	7	7	B	16S-A10-L7
XFB-029	BHI	1	1	3	XFB-029-BHI-r1-p1-PCR3	A11	7	7	B	16S-A11-L7
XFB-029	TYG	3	1	3	XFB-029-TYG-r3-p1-PCR3	A12	7	7	B	16S-A12-L7
XBA-029	BHI	1	1	4	XBA-029-BHI-r1-p1-PCR4	B1	7	0	B	16S-B1-L0
XBA-029	TYG	3	1	4	XBA-029-TYG-r3-p1-PCR4	B2	7	0	B	16S-B2-L0
XFB-029	BHI	1	1	4	XFB-029-BHI-r1-p1-PCR4	B3	7	0	B	16S-B3-L0
XFB-029	TYG	3	1	4	XFB-029-TYG-r3-p1-PCR4	B4	7	0	B	16S-B4-L0
XBA-029	BHI	1	7	2	XBA-029-BHI-r1-p7-PCR2	B9	7	0	B	16S-B9-L0
XBA-029	TYG	3	7	2	XBA-029-TYG-r3-p7-PCR2	B10	7	0	B	16S-B10-L0
XFB-029	BHI	1	7	2	XFB-029-BHI-r1-p7-PCR2	B11	7	0	B	16S-B11-L0
XFB-029	TYG	3	7	2	XFB-029-TYG-r3-p7-PCR2	B12	7	0	B	16S-B12-L0
XBA-029	BHI	1	15	2	XBA-029-BHI-r1-p15-PCR2	C1	7	1	B	16S-C1-L1
XBA-029	TYG	3	15	2	XBA-029-TYG-r3-p15-PCR2	C2	7	1	B	16S-C2-L1
XFB-029	BHI	1	15	2	XFB-029-BHI-r1-p15-PCR2	C3	7	1	B	16S-C3-L1
XFB-029	TYG	3	15	2	XFB-029-TYG-r3-p15-PCR2	C4	7	1	B	16S-C4-L1
XBA-029	BHI	1	3	2	XBA-029-BHI-r1-p3-PCR2	C9	7	1	B	16S-C9-L1
XBA-029	TYG	3	3	2	XBA-029-TYG-r3-p3-PCR2	C10	7	1	B	16S-C10-L1
XFB-029	BHI	1	3	2	XFB-029-BHI-r1-p3-PCR2	C11	7	1	B	16S-C11-L1
XFB-029	TYG	3	3	2	XFB-029-TYG-r3-p3-PCR2	C12	7	1	B	16S-C12-L1
blank	blank	0	0	0	blank-blank-r0-p0-PCR0	C8	7	1	B	16S-C8-L1
